"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSBTAG00000003701",1696.59822131907,3.35368007958537,0.791184214117593,4.23881065843272,2.24707073908066e-05,0.00994026098953722
"ENSBTAG00000004896",801.804345486339,1.78953169887445,0.413476935527266,4.32800851779662,1.50463651965108e-05,0.00883459211222499
"ENSBTAG00000009438",669.534032936244,-1.15713026167041,0.207933653539393,-5.564901313347,2.62300811131878e-08,9.75409282995743e-05
"ENSBTAG00000010350",2746.58113106373,-1.01246074192847,0.191883629937355,-5.27643104447739,1.31724046067173e-07,0.000367378364481346
"ENSBTAG00000011518",326.938011478621,-1.56088550826275,0.355446249206976,-4.39134049591236,1.12653962382513e-05,0.00765981201590702
"ENSBTAG00000016819",2010.51110971672,1.13418324152767,0.201790077448906,5.62060957538834,1.90284856499493e-08,9.75409282995743e-05
"ENSBTAG00000018382",1420.27905675499,1.11939812838264,0.167759940833913,6.67261875998676,2.51278556397006e-11,2.803263575165e-07
"ENSBTAG00000019177",2006.87727153467,1.24514490928259,0.293445640259286,4.24318762474163,2.2036704252285e-05,0.00994026098953722
"ENSBTAG00000021916",668.156400329551,5.17455347634411,1.20834845900111,4.28233547847754,1.84941866426026e-05,0.00949333521979304
"ENSBTAG00000033107",139.768256050795,-1.26722136430878,0.255606098127297,-4.95771178228179,7.13282716272886e-07,0.000884153553637813
"ENSBTAG00000033563",134.911512640146,1.17019935896631,0.248789151716209,4.70357871673258,2.55640468794893e-06,0.00259265915443256
"ENSBTAG00000045604",425.392884587407,1.06424366860668,0.224399759655249,4.74262392366956,2.10967694752429e-06,0.0023535556026581
"ENSBTAG00000048485",4798.9807987819,1.18883332923389,0.266565381437458,4.45981891130458,8.20289317927884e-06,0.00703934433138729
