"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","6.28157217943735e-26","774","3794","394","0.103848181338956","0.509043927648579","GO:0022402","GO:BP","cell cycle process","11884","6159","c(""GO:0007049"", ""GO:0009987"")"
"query_1","TRUE","9.84228361167034e-23","696","3794","353","0.0930416447021613","0.507183908045977","GO:0006396","GO:BP","RNA processing","11884","2049","c(""GO:0010467"", ""GO:0032774"", ""GO:0044238"")"
"query_1","TRUE","2.39628351099008e-20","962","3794","450","0.118608328940432","0.467775467775468","GO:0007049","GO:BP","cell cycle","11884","2516","GO:0009987"
"query_1","TRUE","1.60800897780138e-18","464","3794","246","0.0648392198207696","0.530172413793103","GO:1903047","GO:BP","mitotic cell cycle process","11884","21150","c(""GO:0000278"", ""GO:0022402"")"
"query_1","TRUE","5.47712354057722e-18","352","3794","197","0.0519240906694781","0.559659090909091","GO:0022613","GO:BP","ribonucleoprotein complex biogenesis","11884","6185","GO:0044085"
"query_1","TRUE","7.49642433518778e-18","3504","3794","1337","0.35239852398524","0.381563926940639","GO:0006139","GO:BP","nucleobase-containing compound metabolic process","11884","1882","GO:0044238"
"query_1","TRUE","7.49642433518778e-18","548","3794","278","0.0732735898787559","0.507299270072993","GO:0000278","GO:BP","mitotic cell cycle","11884","75","GO:0007049"
"query_1","TRUE","7.49642433518778e-18","265","3794","158","0.0416447021613073","0.59622641509434","GO:0007059","GO:BP","chromosome segregation","11884","2525","GO:0022402"
"query_1","TRUE","1.52812488393005e-16","340","3794","188","0.0495519240906695","0.552941176470588","GO:0051276","GO:BP","chromosome organization","11884","12715","GO:0006996"
"query_1","TRUE","1.51277790288795e-15","218","3794","132","0.0347917764891935","0.605504587155963","GO:0006260","GO:BP","DNA replication","11884","1972","GO:0006259"
"query_1","TRUE","4.03302589090602e-15","655","3794","312","0.0822351080653664","0.476335877862595","GO:0006259","GO:BP","DNA metabolic process","11884","1971","GO:0090304"
"query_1","TRUE","8.81585185372749e-15","3183","3794","1209","0.318661043753295","0.379830348727615","GO:0090304","GO:BP","nucleic acid metabolic process","11884","16982","c(""GO:0006139"", ""GO:0043170"")"
"query_1","TRUE","3.47767577617323e-14","174","3794","109","0.0287295730100158","0.626436781609195","GO:0006364","GO:BP","rRNA processing","11884","2032","c(""GO:0006396"", ""GO:0016072"", ""GO:0042254"")"
"query_1","TRUE","5.39815676463674e-14","190","3794","116","0.0305745914602003","0.610526315789474","GO:0016072","GO:BP","rRNA metabolic process","11884","4856","GO:0016070"
"query_1","TRUE","1.25925792148951e-13","126","3794","85","0.0224037954665261","0.674603174603175","GO:0006261","GO:BP","DNA-templated DNA replication","11884","1973","GO:0006260"
"query_1","TRUE","3.81933461498101e-13","196","3794","117","0.0308381655245124","0.596938775510204","GO:0098813","GO:BP","nuclear chromosome segregation","11884","17660","GO:0007059"
"query_1","TRUE","7.13129535963666e-13","254","3794","142","0.0374275171323142","0.559055118110236","GO:0042254","GO:BP","ribosome biogenesis","11884","9411","GO:0022613"
"query_1","TRUE","8.49959789142817e-13","5438","3794","1936","0.510279388508171","0.356013240161824","GO:0043170","GO:BP","macromolecule metabolic process","11884","9900","GO:0008152"
"query_1","TRUE","5.4977725405151e-12","259","3794","142","0.0374275171323142","0.548262548262548","GO:0000280","GO:BP","nuclear division","11884","77","GO:0048285"
"query_1","TRUE","5.4977725405151e-12","220","3794","125","0.032946758039009","0.568181818181818","GO:0000375","GO:BP","RNA splicing, via transesterification reactions","11884","106","GO:0008380"
"query_1","TRUE","5.4977725405151e-12","220","3794","125","0.032946758039009","0.568181818181818","GO:0000398","GO:BP","mRNA splicing, via spliceosome","11884","120","c(""GO:0000377"", ""GO:0006397"")"
