"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","6.46185693733277e-07","1291","1223","202","0.16516762060507","0.156467854376452","GO:0007166","GO:BP","cell surface receptor signaling pathway","11884","2596","GO:0007165"
"query_1","TRUE","6.46185693733277e-07","1879","1223","271","0.221586263286999","0.144225651942523","GO:0030154","GO:BP","cell differentiation","11884","6252","GO:0048869"
"query_1","TRUE","6.46185693733277e-07","2897","1223","389","0.31807031888798","0.134276838108388","GO:0032501","GO:BP","multicellular organismal process","11884","7116","GO:0008150"
"query_1","TRUE","6.46185693733277e-07","1879","1223","271","0.221586263286999","0.144225651942523","GO:0048869","GO:BP","cellular developmental process","11884","12259","c(""GO:0009987"", ""GO:0032502"")"
"query_1","TRUE","2.50863090148065e-06","2648","1223","356","0.291087489779231","0.134441087613293","GO:0048856","GO:BP","anatomical structure development","11884","12247","GO:0032502"
"query_1","TRUE","2.50863090148065e-06","2872","1223","381","0.311529026982829","0.132660167130919","GO:0032502","GO:BP","developmental process","11884","7117","GO:0008150"
"query_1","TRUE","4.76953929090767e-06","1781","1223","254","0.207686017988553","0.142616507580011","GO:0048731","GO:BP","system development","11884","12138","c(""GO:0007275"", ""GO:0048856"")"
"query_1","TRUE","6.57631344614123e-06","4070","1223","509","0.416189697465249","0.125061425061425","GO:0050896","GO:BP","response to stimulus","11884","12476","GO:0008150"
"query_1","TRUE","1.30182272013524e-05","2722","1223","359","0.293540474243663","0.131888317413666","GO:0007165","GO:BP","signal transduction","11884","2595","c(""GO:0007154"", ""GO:0009987"", ""GO:0023052"", ""GO:0050794"", ""GO:0051716"")"
"query_1","TRUE","2.14465023519641e-05","494","1223","90","0.0735895339329518","0.182186234817814","GO:0007167","GO:BP","enzyme-linked receptor protein signaling pathway","11884","2597","GO:0007166"
"query_1","TRUE","2.36445993844042e-05","2920","1223","379","0.309893704006541","0.129794520547945","GO:0023052","GO:BP","signaling","11884","6205","GO:0050789"
"query_1","TRUE","3.41811462818286e-05","605","1223","104","0.0850367947669665","0.171900826446281","GO:0007155","GO:BP","cell adhesion","11884","2585","GO:0009987"
"query_1","TRUE","4.8879163214206e-05","2933","1223","378","0.309076042518397","0.128878281622912","GO:0007154","GO:BP","cell communication","11884","2584","GO:0009987"
"query_1","TRUE","9.21663641284638e-05","2114","1223","284","0.23221586263287","0.13434247871334","GO:0007275","GO:BP","multicellular organism development","11884","2666","c(""GO:0032501"", ""GO:0048856"")"
"query_1","TRUE","0.000116748771635945","554","1223","95","0.0776778413736713","0.171480144404332","GO:0048646","GO:BP","anatomical structure formation involved in morphogenesis","11884","12055","c(""GO:0009653"", ""GO:0032502"")"
"query_1","TRUE","0.000120853562898656","294","1223","59","0.0482420278004906","0.200680272108844","GO:0008285","GO:BP","negative regulation of cell population proliferation","11884","3012","c(""GO:0008283"", ""GO:0042127"", ""GO:0048523"")"
"query_1","TRUE","0.000146704987533105","152","1223","37","0.0302534750613246","0.243421052631579","GO:0061448","GO:BP","connective tissue development","11884","14398","GO:0009888"
"query_1","TRUE","0.000146704987533105","1289","1223","186","0.152085036794767","0.144297905352987","GO:0009653","GO:BP","anatomical structure morphogenesis","11884","3414","c(""GO:0032502"", ""GO:0048856"")"
"query_1","TRUE","0.000212528562432524","918","1223","140","0.114472608340147","0.152505446623094","GO:0009888","GO:BP","tissue development","11884","3587","GO:0048856"
"query_1","TRUE","0.000291720354889324","1330","1223","189","0.154538021259199","0.142105263157895","GO:0048513","GO:BP","animal organ development","11884","11949","GO:0048856"
"query_1","TRUE","0.000291720354889324","1104","1223","162","0.132461161079313","0.146739130434783","GO:0007399","GO:BP","nervous system development","11884","2762","GO:0048731"
"query_1","TRUE","0.0003841943987877","153","1223","36","0.0294358135731807","0.235294117647059","GO:0045229","GO:BP","external encapsulating structure organization","11884","10571","GO:0016043"
"query_1","TRUE","0.0003841943987877","153","1223","36","0.0294358135731807","0.235294117647059","GO:0030198","GO:BP","extracellular matrix organization","11884","6272","c(""GO:0043062"", ""GO:0045229"")"
"query_1","TRUE","0.000433863079581868","154","1223","36","0.0294358135731807","0.233766233766234","GO:0043062","GO:BP","extracellular structure organization","11884","9846","GO:0016043"
"query_1","TRUE","0.000447611193155466","600","1223","98","0.080130825838103","0.163333333333333","GO:0003008","GO:BP","system process","11884","1410","GO:0032501"
"query_1","TRUE","0.000685308662744604","552","1223","91","0.0744071954210957","0.164855072463768","GO:0072359","GO:BP","circulatory system development","11884","16197","GO:0048731"
"query_1","TRUE","0.000914761282234485","12","1223","8","0.00654129190515127","0.666666666666667","GO:0014808","GO:BP","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","11884","4470","c(""GO:0070296"", ""GO:1903514"")"
"query_1","TRUE","0.000929500597513006","859","1223","129","0.105478331970564","0.150174621653085","GO:0008283","GO:BP","cell population proliferation","11884","3010","GO:0009987"
"query_1","TRUE","0.00115524057570073","327","1223","60","0.0490596892886345","0.18348623853211","GO:0007169","GO:BP","cell surface receptor protein tyrosine kinase signaling pathway","11884","2599","GO:0007167"
"query_1","TRUE","0.00138028573958352","176","1223","38","0.0310711365494685","0.215909090909091","GO:0042692","GO:BP","muscle cell differentiation","11884","9648","c(""GO:0030154"", ""GO:0061061"")"
"query_1","TRUE","0.00139976813822109","682","1223","106","0.0866721177432543","0.155425219941349","GO:0042127","GO:BP","regulation of cell population proliferation","11884","9340","c(""GO:0008283"", ""GO:0050794"")"
"query_1","TRUE","0.00182514407680032","13","1223","8","0.00654129190515127","0.615384615384615","GO:1903514","GO:BP","release of sequestered calcium ion into cytosol by endoplasmic reticulum","11884","21457","GO:0051209"
"query_1","TRUE","0.00234572744092967","343","1223","61","0.0498773507767784","0.177842565597668","GO:0070848","GO:BP","response to growth factor","11884","15214","GO:0009719"
"query_1","TRUE","0.0027208621630341","1224","1223","170","0.139002452984464","0.138888888888889","GO:0048468","GO:BP","cell development","11884","11920","c(""GO:0030154"", ""GO:0048856"", ""GO:0048869"")"
"query_1","TRUE","0.00275800883574339","1431","1223","194","0.158626328699918","0.135569531795947","GO:0042221","GO:BP","response to chemical","11884","9400","GO:0050896"
"query_1","TRUE","0.00275800883574339","302","1223","55","0.044971381847915","0.182119205298013","GO:0061061","GO:BP","muscle structure development","11884","14123","GO:0048856"
"query_1","TRUE","0.00275800883574339","536","1223","86","0.0703188879803761","0.16044776119403","GO:0035295","GO:BP","tube development","11884","8374","c(""GO:0007275"", ""GO:0048856"")"
"query_1","TRUE","0.00306187049592126","3504","1223","424","0.346688470973017","0.121004566210046","GO:0051716","GO:BP","cellular response to stimulus","11884","12983","c(""GO:0009987"", ""GO:0050896"")"
