"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","6.38679495239873e-11","1291","1096","200","0.182481751824818","0.154918667699458","GO:0007166","GO:BP","cell surface receptor signaling pathway","11884","2596","GO:0007165"
"query_1","TRUE","7.11412256691922e-11","1879","1096","264","0.240875912408759","0.140500266098989","GO:0048869","GO:BP","cellular developmental process","11884","12259","c(""GO:0009987"", ""GO:0032502"")"
"query_1","TRUE","7.11412256691922e-11","1879","1096","264","0.240875912408759","0.140500266098989","GO:0030154","GO:BP","cell differentiation","11884","6252","GO:0048869"
"query_1","TRUE","7.11412256691922e-11","2897","1096","373","0.340328467153285","0.12875388332758","GO:0032501","GO:BP","multicellular organismal process","11884","7116","GO:0008150"
"query_1","TRUE","6.11974458278567e-10","2648","1096","341","0.311131386861314","0.128776435045317","GO:0048856","GO:BP","anatomical structure development","11884","12247","GO:0032502"
"query_1","TRUE","6.11974458278567e-10","494","1096","96","0.0875912408759124","0.194331983805668","GO:0007167","GO:BP","enzyme-linked receptor protein signaling pathway","11884","2597","GO:0007166"
"query_1","TRUE","6.11974458278567e-10","2872","1096","364","0.332116788321168","0.126740947075209","GO:0032502","GO:BP","developmental process","11884","7117","GO:0008150"
"query_1","TRUE","7.15812447425441e-10","2722","1096","348","0.317518248175182","0.127847171197649","GO:0007165","GO:BP","signal transduction","11884","2595","c(""GO:0007154"", ""GO:0009987"", ""GO:0023052"", ""GO:0050794"", ""GO:0051716"")"
"query_1","TRUE","1.23114078343747e-09","2920","1096","367","0.33485401459854","0.125684931506849","GO:0023052","GO:BP","signaling","11884","6205","GO:0050789"
"query_1","TRUE","1.73900357128397e-09","1330","1096","196","0.178832116788321","0.147368421052632","GO:0048513","GO:BP","animal organ development","11884","11949","GO:0048856"
"query_1","TRUE","2.6459876936938e-09","4070","1096","479","0.437043795620438","0.117690417690418","GO:0050896","GO:BP","response to stimulus","11884","12476","GO:0008150"
"query_1","TRUE","2.6459876936938e-09","1781","1096","245","0.223540145985401","0.137563166760247","GO:0048731","GO:BP","system development","11884","12138","c(""GO:0007275"", ""GO:0048856"")"
"query_1","TRUE","2.6459876936938e-09","2933","1096","366","0.333941605839416","0.124786907603137","GO:0007154","GO:BP","cell communication","11884","2584","GO:0009987"
"query_1","TRUE","9.50178855371604e-09","918","1096","145","0.132299270072993","0.157952069716776","GO:0009888","GO:BP","tissue development","11884","3587","GO:0048856"
"query_1","TRUE","3.7725999882428e-08","552","1096","98","0.0894160583941606","0.177536231884058","GO:0072359","GO:BP","circulatory system development","11884","16197","GO:0048731"
"query_1","TRUE","2.55316482437833e-07","2114","1096","271","0.247262773722628","0.128192999053926","GO:0007275","GO:BP","multicellular organism development","11884","2666","c(""GO:0032501"", ""GO:0048856"")"
"query_1","TRUE","2.55316482437833e-07","153","1096","40","0.0364963503649635","0.261437908496732","GO:0030198","GO:BP","extracellular matrix organization","11884","6272","c(""GO:0043062"", ""GO:0045229"")"
"query_1","TRUE","2.55316482437833e-07","153","1096","40","0.0364963503649635","0.261437908496732","GO:0045229","GO:BP","external encapsulating structure organization","11884","10571","GO:0016043"
"query_1","TRUE","2.55316482437833e-07","1289","1096","182","0.166058394160584","0.141194724592708","GO:0009653","GO:BP","anatomical structure morphogenesis","11884","3414","c(""GO:0032502"", ""GO:0048856"")"
"query_1","TRUE","2.74318104773919e-07","154","1096","40","0.0364963503649635","0.25974025974026","GO:0043062","GO:BP","extracellular structure organization","11884","9846","GO:0016043"
"query_1","TRUE","2.91381664880259e-07","302","1096","62","0.0565693430656934","0.205298013245033","GO:0061061","GO:BP","muscle structure development","11884","14123","GO:0048856"
"query_1","TRUE","3.42908743868654e-07","554","1096","95","0.0866788321167883","0.171480144404332","GO:0048646","GO:BP","anatomical structure formation involved in morphogenesis","11884","12055","c(""GO:0009653"", ""GO:0032502"")"
"query_1","TRUE","1.24989515344268e-06","343","1096","66","0.0602189781021898","0.192419825072886","GO:0070848","GO:BP","response to growth factor","11884","15214","GO:0009719"
"query_1","TRUE","1.62967196977902e-06","190","1096","44","0.0401459854014599","0.231578947368421","GO:0001503","GO:BP","ossification","11884","308","GO:0032501"
"query_1","TRUE","1.82346422021126e-06","152","1096","38","0.0346715328467153","0.25","GO:0061448","GO:BP","connective tissue development","11884","14398","GO:0009888"
"query_1","TRUE","1.97414664823947e-06","859","1096","129","0.117700729927007","0.150174621653085","GO:0008283","GO:BP","cell population proliferation","11884","3010","GO:0009987"
"query_1","TRUE","2.16807936217886e-06","334","1096","64","0.0583941605839416","0.191616766467066","GO:0071363","GO:BP","cellular response to growth factor stimulus","11884","15479","c(""GO:0070848"", ""GO:0071495"")"
"query_1","TRUE","2.30577608305243e-06","16","1096","11","0.010036496350365","0.6875","GO:0003009","GO:BP","skeletal muscle contraction","11884","1411","c(""GO:0006941"", ""GO:0050881"")"
"query_1","TRUE","2.83583024318931e-06","3504","1096","405","0.369525547445255","0.115582191780822","GO:0051716","GO:BP","cellular response to stimulus","11884","12983","c(""GO:0009987"", ""GO:0050896"")"
"query_1","TRUE","3.28411460491014e-06","294","1096","58","0.0529197080291971","0.197278911564626","GO:0008285","GO:BP","negative regulation of cell population proliferation","11884","3012","c(""GO:0008283"", ""GO:0042127"", ""GO:0048523"")"
"query_1","TRUE","5.55457170173543e-06","199","1096","44","0.0401459854014599","0.221105527638191","GO:0060537","GO:BP","muscle tissue development","11884","13721","GO:0009888"
"query_1","TRUE","9.98877562852957e-06","1224","1096","167","0.152372262773723","0.136437908496732","GO:0048468","GO:BP","cell development","11884","11920","c(""GO:0030154"", ""GO:0048856"", ""GO:0048869"")"
"query_1","TRUE","1.05365140737356e-05","605","1096","96","0.0875912408759124","0.158677685950413","GO:0007155","GO:BP","cell adhesion","11884","2585","GO:0009987"
"query_1","TRUE","1.15758591544044e-05","682","1096","105","0.0958029197080292","0.153958944281525","GO:0042127","GO:BP","regulation of cell population proliferation","11884","9340","c(""GO:0008283"", ""GO:0050794"")"
"query_1","TRUE","1.15758591544044e-05","184","1096","41","0.0374087591240876","0.222826086956522","GO:0014706","GO:BP","striated muscle tissue development","11884","4426","GO:0060537"
"query_1","TRUE","1.26442056659999e-05","600","1096","95","0.0866788321167883","0.158333333333333","GO:0003008","GO:BP","system process","11884","1410","GO:0032501"
"query_1","TRUE","1.6391316532809e-05","637","1096","99","0.0903284671532847","0.15541601255887","GO:0009719","GO:BP","response to endogenous stimulus","11884","3457","GO:0050896"
"query_1","TRUE","2.24961030893712e-05","327","1096","60","0.0547445255474453","0.18348623853211","GO:0007169","GO:BP","cell surface receptor protein tyrosine kinase signaling pathway","11884","2599","GO:0007167"
"query_1","TRUE","5.63262838168994e-05","115","1096","29","0.0264598540145985","0.252173913043478","GO:0051216","GO:BP","cartilage development","11884","12677","c(""GO:0001501"", ""GO:0048513"", ""GO:0061448"")"
"query_1","TRUE","7.1264500143641e-05","176","1096","38","0.0346715328467153","0.215909090909091","GO:0042692","GO:BP","muscle cell differentiation","11884","9648","c(""GO:0030154"", ""GO:0061061"")"
"query_1","TRUE","8.4116645740142e-05","43","1096","16","0.0145985401459854","0.372093023255814","GO:0070167","GO:BP","regulation of biomineral tissue development","11884","14853","c(""GO:0031214"", ""GO:2000026"")"
"query_1","TRUE","9.56457236571161e-05","671","1096","100","0.0912408759124088","0.14903129657228","GO:0045595","GO:BP","regulation of cell differentiation","11884","10677","c(""GO:0030154"", ""GO:0050793"", ""GO:0050794"")"
"query_1","TRUE","0.000122072241757009","581","1096","89","0.0812043795620438","0.153184165232358","GO:0071495","GO:BP","cellular response to endogenous stimulus","11884","15590","GO:0009719"
"query_1","TRUE","0.000129419228826331","22","1096","11","0.010036496350365","0.5","GO:0070169","GO:BP","positive regulation of biomineral tissue development","11884","14855","c(""GO:0031214"", ""GO:0051094"", ""GO:0070167"")"
"query_1","TRUE","0.000129419228826331","174","1096","37","0.0337591240875912","0.21264367816092","GO:0141091","GO:BP","transforming growth factor beta receptor superfamily signaling pathway","11884","18772","GO:0007178"
"query_1","TRUE","0.000129419228826331","22","1096","11","0.010036496350365","0.5","GO:0050881","GO:BP","musculoskeletal movement","11884","12462","c(""GO:0050879"", ""GO:0050905"")"
"query_1","TRUE","0.000129419228826331","5962","1096","625","0.570255474452555","0.104830593760483","GO:0050789","GO:BP","regulation of biological process","11884","12397","c(""GO:0008150"", ""GO:0065007"")"
"query_1","TRUE","0.000129419228826331","22","1096","11","0.010036496350365","0.5","GO:0050879","GO:BP","multicellular organismal movement","11884","12461","GO:0032501"
"query_1","TRUE","0.00014232193287981","72","1096","21","0.0191605839416058","0.291666666666667","GO:0031214","GO:BP","biomineral tissue development","11884","6640","c(""GO:0009888"", ""GO:0048513"")"
"query_1","TRUE","0.000160026263593003","937","1096","129","0.117700729927007","0.137673425827108","GO:0141124","GO:BP","intracellular signaling cassette","11884","18783","GO:0035556"
"query_1","TRUE","0.000165265692192373","56","1096","18","0.0164233576642336","0.321428571428571","GO:0030282","GO:BP","bone mineralization","11884","6317","c(""GO:0001503"", ""GO:0031214"")"
"query_1","TRUE","0.000173934219490582","6150","1096","641","0.58485401459854","0.104227642276423","GO:0065007","GO:BP","biological regulation","11884","14784","GO:0008150"
"query_1","TRUE","0.000183906721840485","1104","1096","147","0.134124087591241","0.133152173913043","GO:0007399","GO:BP","nervous system development","11884","2762","GO:0048731"
"query_1","TRUE","0.000187156745865353","171","1096","36","0.0328467153284672","0.210526315789474","GO:0031589","GO:BP","cell-substrate adhesion","11884","6771","GO:0007155"
"query_1","TRUE","0.000187156745865353","185","1096","38","0.0346715328467153","0.205405405405405","GO:0007178","GO:BP","cell surface receptor protein serine/threonine kinase signaling pathway","11884","2605","GO:0007167"
"query_1","TRUE","0.000187156745865353","266","1096","49","0.0447080291970803","0.184210526315789","GO:0001501","GO:BP","skeletal system development","11884","306","GO:0048731"
"query_1","TRUE","0.000187156745865353","1431","1096","182","0.166058394160584","0.127183787561146","GO:0042221","GO:BP","response to chemical","11884","9400","GO:0050896"
"query_1","TRUE","0.000195646153908651","368","1096","62","0.0565693430656934","0.168478260869565","GO:0001944","GO:BP","vasculature development","11884","542","c(""GO:0048731"", ""GO:0072359"")"
"query_1","TRUE","0.000224905412163253","330","1096","57","0.052007299270073","0.172727272727273","GO:0050877","GO:BP","nervous system process","11884","12459","GO:0003008"
"query_1","TRUE","0.000326424544078161","1229","1096","159","0.14507299270073","0.129373474369406","GO:0051239","GO:BP","regulation of multicellular organismal process","11884","12691","c(""GO:0032501"", ""GO:0050789"")"
"query_1","TRUE","0.000326424544078161","5764","1096","603","0.550182481751825","0.104614850798057","GO:0050794","GO:BP","regulation of cellular process","11884","12401","c(""GO:0009987"", ""GO:0050789"")"
"query_1","TRUE","0.000326659631536524","1109","1096","146","0.133211678832117","0.131650135256988","GO:0050793","GO:BP","regulation of developmental process","11884","12400","c(""GO:0032502"", ""GO:0050789"")"
"query_1","TRUE","0.000344081003362611","288","1096","51","0.0465328467153285","0.177083333333333","GO:0007507","GO:BP","heart development","11884","2857","c(""GO:0048513"", ""GO:0072359"")"
"query_1","TRUE","0.00044034329385098","536","1096","81","0.0739051094890511","0.151119402985075","GO:0035295","GO:BP","tube development","11884","8374","c(""GO:0007275"", ""GO:0048856"")"
"query_1","TRUE","0.000513264922978448","61","1096","18","0.0164233576642336","0.295081967213115","GO:0048565","GO:BP","digestive tract development","11884","11988","c(""GO:0035295"", ""GO:0055123"")"
"query_1","TRUE","0.000597058533952217","152","1096","32","0.0291970802919708","0.210526315789474","GO:0007517","GO:BP","muscle organ development","11884","2863","c(""GO:0048513"", ""GO:0061061"")"
"query_1","TRUE","0.000613166113778639","350","1096","58","0.0529197080291971","0.165714285714286","GO:0001568","GO:BP","blood vessel development","11884","341","c(""GO:0001944"", ""GO:0048856"")"
"query_1","TRUE","0.000670449704368871","1531","1096","189","0.172445255474453","0.123448726322665","GO:0009966","GO:BP","regulation of signal transduction","11884","3643","c(""GO:0007165"", ""GO:0010646"", ""GO:0023051"", ""GO:0048583"")"
"query_1","TRUE","0.000670449704368871","392","1096","63","0.0574817518248175","0.160714285714286","GO:0051093","GO:BP","negative regulation of developmental process","11884","12611","c(""GO:0032502"", ""GO:0048519"", ""GO:0050793"")"
"query_1","TRUE","0.000716614410011018","106","1096","25","0.0228102189781022","0.235849056603774","GO:0006936","GO:BP","muscle contraction","11884","2444","GO:0003012"
"query_1","TRUE","0.000857586660310309","148","1096","31","0.0282846715328467","0.209459459459459","GO:0032868","GO:BP","response to insulin","11884","7353","GO:0043434"
"query_1","TRUE","0.000972142096085104","135","1096","29","0.0264598540145985","0.214814814814815","GO:0051146","GO:BP","striated muscle cell differentiation","11884","12643","GO:0042692"
"query_1","TRUE","0.00110172353161181","432","1096","67","0.0611313868613139","0.155092592592593","GO:0035239","GO:BP","tube morphogenesis","11884","8343","c(""GO:0009653"", ""GO:0035295"")"
"query_1","TRUE","0.00113888735823936","8","1096","6","0.00547445255474453","0.75","GO:0014819","GO:BP","regulation of skeletal muscle contraction","11884","4480","c(""GO:0003009"", ""GO:0006942"")"
"query_1","TRUE","0.00123107426325306","343","1096","56","0.0510948905109489","0.163265306122449","GO:0045597","GO:BP","positive regulation of cell differentiation","11884","10679","c(""GO:0030154"", ""GO:0045595"", ""GO:0048522"", ""GO:0051094"")"
"query_1","TRUE","0.00124495494150494","747","1096","103","0.093978102189781","0.137884872824632","GO:0009967","GO:BP","positive regulation of signal transduction","11884","3644","c(""GO:0007165"", ""GO:0009966"", ""GO:0010647"", ""GO:0023056"", ""GO:0048584"")"
