"","AGAL_control_differentiated_1","AGAL_control_undifferentiated_1","AGAL_control_differentiated_2","AGAL_control_undifferentiated_2","AGAL_control_differentiated_3","AGAL_control_undifferentiated_3","AGAL_knockout_differentiated_1","AGAL_knockout_undifferentiated_1","AGAL_knockout_differentiated_2","AGAL_knockout_undifferentiated_2","AGAL_knockout_differentiated_3","AGAL_knockout_undifferentiated_3"
"ENSBTAG00000000005",379.005141334893,400.520473965693,456.292982474455,461.912378371706,338.719806780281,312.244114161081,352.081822568566,280.402192413299,379.526322996399,352.681448632247,295.575703763561,381.436124843191
"ENSBTAG00000000009",51.6540483265004,0.985317923382611,56.3474470892565,7.232626748228,68.3677542097757,0,31.6166810144911,2.51927599777785,46.8222163276437,0,9.11852064998062,1.90456827958315
"ENSBTAG00000000010",709.245724691203,389.447985788211,655.668469971747,416.133923953361,719.563355929371,386.660455516097,757.136773264178,424.933988126849,714.882638485447,402.584916553721,814.662244199063,521.274167140526
"ENSBTAG00000000012",233.056974276486,196.335865597573,215.954171034391,214.346928181921,175.772059043394,234.762988726673,347.126506260587,230.268370713375,310.661603324035,204.292103008609,326.202648171927,117.096077450739
"ENSBTAG00000000013",1768.35169522816,1625.65133669302,1930.72531994448,1247.69885747883,2374.31933757002,1810.08499616801,1827.42491011299,1459.62783488674,1766.74371494834,1665.03269481477,1890.36961729271,1552.2690902079
"ENSBTAG00000000014",724.838368276066,1381.91924938189,796.410976421421,1367.48619882715,825.040386725809,1345.87196314934,895.091667120732,1272.01757965258,921.193071549967,1518.57084491068,952.294198502696,1205.29489550695
"ENSBTAG00000000015",68.0581824498953,139.917220704101,80.5349940469174,162.746585412972,75.7127756331367,111.663367722695,45.0097709531729,114.196458848158,44.9544381139688,132.91583112972,22.8019663277325,128.554945260428
"ENSBTAG00000000019",8882.91290011032,5317.47558365374,8904.11335238614,4769.80832308836,4360.23887465782,1966.69180049838,6615.46801367279,3928.06707620345,8380.81534085837,4754.32878783745,8398.9704264519,4104.80883072957
"ENSBTAG00000000021",913.521059786424,515.671573018992,819.916580984749,631.787672998711,1019.29453190465,540.757427886455,917.78177595623,699.073415494627,1012.37748051605,687.70288752212,922.986435452694,675.111808297821
"ENSBTAG00000000022",225.085453828963,303.740559371585,168.145331165117,298.543470758749,155.315392978626,422.480546300449,248.951569888549,564.480130516242,186.213511572561,444.714642377468,217.342586940959,377.851673074033
"ENSBTAG00000000023",2577.86588930368,1602.41524428765,2481.18590381752,1815.43380120845,2138.59802055923,1761.39632026363,1988.32119403495,1573.9754774946,2093.46754284826,1622.70278602801,2246.93477096537,1461.79181414406
"ENSBTAG00000000024",1955.91079115958,1855.60690442579,3259.89790367313,3068.61611188729,3071.11564019019,2608.71368029033,2284.86714021814,1818.4406478772,3258.69995556103,2637.36664021997,3049.44208689841,2811.73614765296
"ENSBTAG00000000025",5518.09865856363,5203.69316291423,5721.63828945317,5146.23158749957,6185.62704399902,5424.46827357052,6257.01225820404,5424.40081308896,5711.42613198549,5673.24648093636,5559.73998080482,4449.69378047975
"ENSBTAG00000000026",427.551810554773,274.596927195867,335.212009529061,385.154093840646,378.045317683273,448.076462912208,375.819651677062,384.923182954961,409.028477393965,401.913384328466,350.919794647279,414.733152378776
"ENSBTAG00000000030",107.650427737171,259.461838611856,79.7144926397729,308.408158125557,74.5594362351507,375.595787874819,135.160375015572,561.882171264864,96.4169154125929,304.692905958478,79.2453273499154,290.351734729555
"ENSBTAG00000000031",167.48105303987,38.221191224973,79.5328231088184,24.6070906647404,153.99390521525,49.5013979251134,107.749055821892,34.2974630314996,94.8144968227308,22.3554134667324,92.2740560895609,51.8940061443576
"ENSBTAG00000000033",12.0688179193377,0,1.06482523959503,1.30604793461324,8.72172398040141,1.01504274869829,1.0994584089872,3.00009183075347,15.6108838729573,3.08240572314815,6.92898991258048,4.53598849928391
"ENSBTAG00000000037",412.965879361757,520.737405364611,421.488154869247,501.094452203198,480.496757275011,479.172277937197,424.668314449091,513.055864160539,461.633889780468,486.781151686398,434.5743188286,444.765290504514
